Year,District,Season,Sown_Extent,Harvested_Extent,Waterfed_Major,Waterfed_Minor,Rainfed,Yield_Extent
2005,MAHAWELI  'H',Yala,13479.0,13466.0,4843.0,3388.6953165208442,3005.414551607445,4843.0
2006,COLOMBO,Yala,480.0,456.0,2702.0,2702.0,2502.0,2537.0
2006,GAMPAHA,Yala,1158.0,1102.0,2839.0,2818.0,2526.0,2659.0
2006,KALUTARA,Yala,9759.0,9385.0,2910.0,2857.0,2665.0,2693.0
2006,KANDY,Yala,8067.0,7893.0,4627.0,3215.0,3222.0,3895.0
2006,MATALE,Yala,7268.0,7268.0,3925.0,3228.0,3224.0,3587.0
2006,NUWARA ELIYA,Yala,1923.0,1883.0,3229.0,3069.0,3774.0,3120.0
2006,GALLE,Yala,4912.0,4895.0,3866.2728350515463,4205.0,2720.0,2728.0
2006,MATARA,Yala,11443.0,11415.0,3702.0,3324.0,3556.0,3550.0
2006,HAMBANTOTA,Yala,16448.0,16406.0,4693.0,3615.0,2962.0,4470.0
2006,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2006,MANNAR,Yala,48.0,48.0,4100.0,3777.0,3005.414551607445,4067.0
2006,VAVUNIYA,Yala,721.0,710.0,4526.0,4367.0,3005.414551607445,4432.0
2006,MULLATIVU,Yala,2755.0,2617.0,3742.0,3997.0,3283.0,3650.0
2006,KILINOCHCHI,Yala,5235.0,4488.0,3563.0,3317.0,3005.414551607445,3561.0
2006,BATTICALOA,Yala,15498.0,15226.0,3650.0,3623.0,3623.0,3649.0
2006,AMPARA,Yala,55036.0,55021.0,4901.0,4212.0,4624.0,4884.0
2006,TRINCOMALEE,Yala,11027.0,10330.0,4484.0,3573.0,3005.414551607445,4415.0
2006,KURUNEGALA,Yala,35093.0,33338.0,4291.0,3527.0,3058.0,3653.0
2006,PUTTALAM,Yala,6781.0,6574.0,4257.0,3121.0,2790.0,3647.0
2006,ANURADHAPURA,Yala,21201.0,21072.0,4704.0,4165.0,4071.0,4560.0
2006,POLONNARUWA,Yala,48501.0,48501.0,4909.0,4628.0,3005.414551607445,4899.0
2006,BADULLA,Yala,11337.0,11298.0,4591.0,3855.0,3949.0,4388.0
2006,MONARAGALA,Yala,6579.0,6579.0,4383.0,3542.0,3516.0,4055.0
2006,RATNAPURA,Yala,9520.0,9482.0,4267.0,3361.0,2690.0,3368.0
2006,KEGALLE,Yala,5471.0,5468.0,3866.2728350515463,3340.0,3055.0,3130.0
2006,UDAWALAWE,Yala,9484.0,9294.0,5424.0,3388.6953165208442,3005.414551607445,5424.0
2006,MAHAWELI  'H',Yala,13451.0,13451.0,4717.0,3388.6953165208442,3005.414551607445,4717.0
2007,COLOMBO,Yala,879.0,878.0,3250.0,3250.0,3377.0,3346.0
2007,GAMPAHA,Yala,2407.0,2395.0,3297.0,2714.0,3800.0,3656.0
2007,KALUTARA,Yala,7135.0,7114.0,2838.0,3446.0,2990.0,3060.0
2007,KANDY,Yala,8157.0,8054.0,4725.0,2993.0,3407.0,3903.0
2007,MATALE,Yala,5585.0,5526.0,4661.0,3699.0,2635.0,4086.0
2007,NUWARA ELIYA,Yala,2072.0,2066.0,3582.0,3737.0,3737.0,3703.0
2007,GALLE,Yala,5871.0,5840.0,3866.2728350515463,3169.0,3263.0,3262.0
2007,MATARA,Yala,13345.0,13118.0,4104.0,3804.0,3493.0,3712.0
2007,HAMBANTOTA,Yala,20923.0,20771.0,5038.0,4770.0,3261.0,4940.0
2007,JAFFNA,Yala,18577.883797827115,17849.875117813383,3866.2728350515463,3388.6953165208442,3005.414551607445,3971.4277163904235
2007,MANNAR,Yala,843.0,835.0,4251.0,3234.0,3005.414551607445,4224.0
2007,VAVUNIYA,Yala,586.0,585.0,4505.0,4312.0,3005.414551607445,4446.0
2007,MULLATIVU,Yala,1862.0,1839.0,3883.0,3125.0,3641.0,3765.0
2007,KILINOCHCHI,Yala,3561.0,3526.0,3542.0,2538.0,3005.414551607445,3507.0
